Total Size,u-ch427-n96-max18-mf-ens12,12,0
Total Size,u-ch427-n96-max18-mf-ens13,13,0
Total Size,u-ch427-n96-max18-mf-ens14,14,0
Total Size,u-ch427-n96-max18-mf-ens15,15,0
Total Size,u-ch427-n96-max18-mf-ens16,16,0
Total Size,u-ch427-n96-max18-mf-ens17,17,0
Total Size,u-ch427-n96-max18-mf-ens18,18,0
   
   
   
Total Size,u-ch427-n96-max18-single-ens00,0,0
Total Size,u-ch427-n96-max18-single-ens01,1,0
Total Size,u-ch427-n96-max18-single-ens02,2,0
Total Size,u-ch427-n96-max18-single-ens03,3,0
Total Size,u-ch427-n96-max18-single-ens04,4,0
Total Size,u-ch427-n96-max18-single-ens05,5,0
Total Size,u-ch427-n96-max18-single-ens06,6,0
Total Size,u-ch427-n96-max18-single-ens07,7,0
Total Size,u-ch427-n96-max18-single-ens08,8,0
Total Size,u-ch427-n96-max18-single-ens09,9,0
Total Size,u-ch427-n96-max18-single-ens10,10,0
Total Size,u-ch427-n96-max18-single-ens11,11,0
Total Size,u-ch427-n96-max18-single-ens12,12,0
Total Size,u-ch427-n96-max18-single-ens13,13,0
Total Size,u-ch427-n96-max18-single-ens14,14,0
Total Size,u-ch427-n96-max18-single-ens15,15,0
Total Size,u-ch427-n96-max18-single-ens16,16,0
Total Size,u-ch427-n96-max18-single-ens17,17,0
Total Size,u-ch427-n96-max18-single-ens18,18,0
Total Size,u-ch427-n96-max18-single-ens00,0,0
Total Size,u-ch427-n96-max18-single-ens01,1,0
Total Size,u-ch427-n96-max18-single-ens02,2,0
Total Size,u-ch427-n96-max18-single-ens03,3,0
Total Size,u-ch427-n96-max18-single-ens04,4,0
Total Size,u-ch427-n96-max18-single-ens05,5,0
Total Size,u-ch427-n96-max18-single-ens06,6,0
Total Size,u-ch427-n96-max18-single-ens07,7,0
Total Size,u-ch427-n96-max18-single-ens08,8,0
Total Size,u-ch427-n96-max18-single-ens09,9,0
Total Size,u-ch427-n96-max18-single-ens10,10,0
Total Size,u-ch427-n96-max18-single-ens11,11,0
Total Size,u-ch427-n96-max18-single-ens12,12,0
Total Size,u-ch427-n96-max18-single-ens13,13,0
Total Size,u-ch427-n96-max18-single-ens14,14,0
Total Size,u-ch427-n96-max18-single-ens15,15,0
Total Size,u-ch427-n96-max18-single-ens16,16,0
Total Size,u-ch427-n96-max18-single-ens17,17,0
Total Size,u-ch427-n96-max18-single-ens18,18,0
   
   
   
Total Size,u-ch427-n96-max18-stdev-ens00,0,0
Total Size,u-ch427-n96-max18-stdev-ens01,1,0
Total Size,u-ch427-n96-max18-stdev-ens02,2,0
Total Size,u-ch427-n96-max18-stdev-ens03,3,0
Total Size,u-ch427-n96-max18-stdev-ens04,4,0
Total Size,u-ch427-n96-max18-stdev-ens05,5,0
Total Size,u-ch427-n96-max18-stdev-ens06,6,0
Total Size,u-ch427-n96-max18-stdev-ens07,7,0
Total Size,u-ch427-n96-max18-stdev-ens08,8,0
