Job ID,Job Name,Submit,Start,End,Runtime / h,Scheduling Coefficient,Job Size / Nodes,Charged Usage / CUs,Raw Usage / CUs
1821099,u-ch427-n96-start-paper-30.fcm_make2_um.19880901T0000Z,2022-06-14 20:31:41,2022-06-14 20:31:42,2022-06-14 20:40:14,0:08:32,0.998,1,0.142,0.142
1821104,u-ch427-n96-start-paper-30.install_ancil.19880901T0000Z,2022-06-14 20:36:17,2022-06-14 20:40:49,2022-06-14 20:40:59,0:00:10,0.035,1,0.003,0.003
1821113,u-ch427-n96-start-paper-30.atmos_main.19880901T0000Z,2022-06-14 20:41:52,2022-06-14 21:53:48,2022-06-14 21:59:11,0:05:23,0.07,123,0,11.036
1821864,u-ch427-n96-start-paper-100.ens_setup_all.19880901T0000Z,2022-06-15 00:20:30,2022-06-15 00:20:56,2022-06-15 00:28:43,0:07:47,0.947,1,0.13,0.13
1821865,u-ch427-n96-start-paper-100.install_cold.19880901T0000Z,2022-06-15 00:20:31,2022-06-15 00:20:31,2022-06-15 00:20:39,0:00:08,1,1,0.002,0.002
1821866,u-ch427-n96-start-paper-100.xml.19880901T0000Z,2022-06-15 00:20:31,2022-06-15 00:20:56,2022-06-15 00:21:10,0:00:14,0.359,1,0.004,0.004
1821867,u-ch427-n96-start-paper-100.fcm_make2_drivers.19880901T0000Z,2022-06-15 00:20:45,2022-06-15 00:20:56,2022-06-15 00:21:10,0:00:14,0.56,1,0.004,0.004
1821869,u-ch427-n96-start-paper-100.fcm_make2_um.19880901T0000Z,2022-06-15 00:21:03,2022-06-15 00:21:55,2022-06-15 00:30:39,0:08:44,0.91,1,0.146,0.146
1821881,u-ch427-n96-start-paper-100.install_ancil.19880901T0000Z,2022-06-15 00:25:37,2022-06-15 00:25:37,2022-06-15 00:25:46,0:00:09,1,1,0.002,0.002
1821895,u-ch427-n512-template-start-paper-x-00.ens_setup_all.19880901T0000Z,2022-06-15 00:30:46,2022-06-15 00:30:48,2022-06-15 00:31:13,0:00:25,0.926,1,0.007,0.007
1821896,u-ch427-n512-template-start-paper-x-00.install_cold.19880901T0000Z,2022-06-15 00:30:46,2022-06-15 00:30:48,2022-06-15 00:31:00,0:00:12,0.857,1,0.003,0.003
1821897,u-ch427-n512-template-start-paper-x-00.xml.19880901T0000Z,2022-06-15 00:30:46,2022-06-15 00:30:48,2022-06-15 00:31:03,0:00:15,0.882,1,0.004,0.004
1821898,u-ch427-n512-template-start-paper-x-00.fcm_make2_drivers.19880901T0000Z,2022-06-15 00:31:00,2022-06-15 00:31:44,2022-06-15 00:31:56,0:00:12,0.214,1,0.003,0.003
1821900,u-ch427-n216-template-start-paper-x-00.ens_setup_all.19880901T0000Z,2022-06-15 00:31:13,2022-06-15 00:31:44,2022-06-15 00:32:06,0:00:22,0.415,1,0.006,0.006
1821901,u-ch427-n216-template-start-paper-x-00.install_cold.19880901T0000Z,2022-06-15 00:31:13,2022-06-15 00:31:14,2022-06-15 00:31:23,0:00:09,0.9,1,0.002,0.002
1821902,u-ch427-n216-template-start-paper-x-00.xml.19880901T0000Z,2022-06-15 00:31:13,2022-06-15 00:31:44,2022-06-15 00:31:56,0:00:12,0.279,1,0.003,0.003
1821904,u-ch427-n512-template-start-paper-x-00.fcm_make2_um.19880901T0000Z,2022-06-15 00:31:18,2022-06-15 00:31:44,2022-06-15 00:40:28,0:08:44,0.953,1,0.146,0.146
