SUITE,TIME,INITIAL,JOB_ID,JOB_PID,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,TOOK1,TOOK2,TOOK3
u-ch427-n1280-template,,,,,,,,,,,
u-ch427-n1280-template-32-32,,,,,,,,,,,
u-ch427-n1280-template-64-32,,,,,,,,,,,
u-ch427-n1280-template-64-64,,,,,,,,,,,
u-ch427-n1280-template-90-60,,,,,,,,,,,
u-ch427-n1280-template-96-32,,,,,,,,,,,
u-ch427-n1280-template-queue,,,,,,,,,,,
u-ch427-n216-ens18,325.712,179.00,891816,260535,2021-12-14T14:55:32Z,2021-12-14T15:13:48Z,2021-12-14T15:22:14Z,SUCCEEDED,23.317,0.808,0.624
u-ch427-n216-ens2,155.446,66.83,891832,231203,2021-12-14T14:57:13Z,2021-12-14T15:55:48Z,2021-12-14T15:59:03Z,SUCCEEDED,10.150,0.613,0.584
u-ch427-n216-ens3,172.572,81.02,891829,34465,2021-12-14T14:57:08Z,2021-12-14T15:09:46Z,2021-12-14T15:13:20Z,SUCCEEDED,11.070,0.608,0.589
u-ch427-n216-ens4,183.853,89.38,891838,26269,2021-12-14T14:57:42Z,2021-12-14T15:55:48Z,2021-12-14T15:59:38Z,SUCCEEDED,12.465,0.645,0.609
u-ch427-n216-ens5,194.702,100.04,891828,43837,2021-12-14T14:57:04Z,2021-12-14T15:30:49Z,2021-12-14T15:35:08Z,SUCCEEDED,11.774,0.607,0.705
u-ch427-n216-ens6,211.021,107.65,891741,137947,2021-12-14T14:47:50Z,2021-12-14T14:56:46Z,2021-12-14T15:01:21Z,SUCCEEDED,11.549,0.666,0.589
u-ch427-n216-ens7,216.786,112.78,891742,172079,2021-12-14T14:48:00Z,2021-12-14T15:49:48Z,2021-12-14T15:54:47Z,SUCCEEDED,11.781,0.630,0.603
u-ch427-n216-ens8,228.310,125.67,891743,189728,2021-12-14T14:48:08Z,2021-12-14T15:53:47Z,2021-12-14T15:59:06Z,SUCCEEDED,12.570,0.662,0.614
u-ch427-n216-ens9,246.673,128.72,891749,256215,2021-12-14T14:48:14Z,2021-12-14T15:48:47Z,2021-12-14T15:54:22Z,SUCCEEDED,13.059,0.607,0.598
u-ch427-n216-false-ens0,246.673,128.72,896973,46159,2021-12-15T21:36:51Z,2021-12-15T21:37:58Z,2021-12-15T21:40:33Z,SUCCEEDED,13.059,0.607,0.598
u-ch427-n216-false-ens1,129.433,39.62,897480,78810,2021-12-16T01:11:37Z,2021-12-16T01:11:58Z,2021-12-16T01:14:27Z,SUCCEEDED,12.491,0.599,0.581
u-ch427-n216-false-ens10,258.662,136.80,898410,105672,2021-12-16T11:34:55Z,2021-12-16T19:09:51Z,2021-12-16T19:15:41Z,SUCCEEDED,14.203,0.641,0.606
u-ch427-n216-false-ens11,262.684,142.08,898416,162253,2021-12-16T11:35:11Z,2021-12-16T19:31:49Z,2021-12-16T19:38:04Z,SUCCEEDED,14.161,0.664,0.595
u-ch427-n216-false-ens12,273.037,147.93,898414,91890,2021-12-16T11:35:07Z,2021-12-16T16:44:53Z,2021-12-16T16:51:19Z,SUCCEEDED,14.505,0.634,0.618
u-ch427-n216-false-ens13,278.478,150.32,898415,165244,2021-12-16T11:35:07Z,2021-12-16T19:16:50Z,2021-12-16T19:23:24Z,SUCCEEDED,14.826,0.614,0.619
u-ch427-n216-false-ens14,316.023,173.03,898407,31705,2021-12-16T11:34:42Z,2021-12-16T16:36:53Z,2021-12-16T16:44:27Z,SUCCEEDED,13.365,0.729,3.744
u-ch427-n216-false-ens15,316.988,175.85,898412,112612,2021-12-16T11:35:02Z,2021-12-16T14:13:55Z,2021-12-16T14:21:14Z,SUCCEEDED,13.849,1.233,0.623
u-ch427-n216-false-ens16,300.507,167.04,897495,108080,2021-12-16T01:11:44Z,2021-12-16T02:55:58Z,2021-12-16T03:03:40Z,SUCCEEDED,17.041,0.940,0.620
u-ch427-n216-false-ens17,296.051,167.19,897494,207361,2021-12-16T01:11:44Z,2021-12-16T02:55:58Z,2021-12-16T03:03:37Z,SUCCEEDED,16.389,0.691,0.620
u-ch427-n216-false-ens18,327.667,179.04,897497,197992,2021-12-16T01:11:51Z,2021-12-16T01:12:58Z,2021-12-16T01:21:29Z,SUCCEEDED,26.456,1.000,0.597
u-ch427-n216-false-ens2,159.410,69.68,897481,145551,2021-12-16T01:11:38Z,2021-12-16T01:11:58Z,2021-12-16T01:15:19Z,SUCCEEDED,11.046,0.601,0.585
u-ch427-n216-false-ens3,172.665,82.64,897482,16249,2021-12-16T01:11:38Z,2021-12-16T01:11:58Z,2021-12-16T01:15:31Z,SUCCEEDED,9.072,0.645,0.589
u-ch427-n216-false-ens4,190.247,90.08,897483,51970,2021-12-16T01:11:39Z,2021-12-16T01:11:58Z,2021-12-16T01:15:54Z,SUCCEEDED,18.667,0.605,0.608
u-ch427-n216-false-ens5,202.151,109.72,897489,12492,2021-12-16T01:11:41Z,2021-12-16T01:16:58Z,2021-12-16T01:21:33Z,SUCCEEDED,11.328,0.609,0.590
u-ch427-n216-false-ens6,247.354,113.84,897484,8742,2021-12-16T01:11:41Z,2021-12-16T01:15:58Z,2021-12-16T01:21:12Z,SUCCEEDED,26.952,0.943,0.592
u-ch427-n216-false-ens7,216.479,117.03,897487,51100,2021-12-16T01:11:41Z,2021-12-16T02:55:58Z,2021-12-16T03:01:01Z,SUCCEEDED,12.976,0.613,0.626
u-ch427-n216-false-ens8,233.980,121.28,898411,183432,2021-12-16T11:34:59Z,2021-12-16T14:31:56Z,2021-12-16T14:37:17Z,SUCCEEDED,13.350,0.635,0.612
u-ch427-n216-false-ens9,243.196,128.95,898413,102956,2021-12-16T11:35:05Z,2021-12-16T19:25:49Z,2021-12-16T19:31:23Z,SUCCEEDED,13.019,0.643,0.618
u-ch427-n216-single-ens00,243.196,128.95,902717,217867,2021-12-17T14:32:02Z,2021-12-17T14:33:00Z,2021-12-17T14:35:21Z,SUCCEEDED,13.019,0.643,0.618
u-ch427-n216-single-ens01,123.161,38.76,902720,75882,2021-12-17T14:32:11Z,2021-12-17T14:33:00Z,2021-12-17T14:35:22Z,SUCCEEDED,9.063,0.591,0.569
