SUITE,TimeStep SIZE,TimeStep 0,TimeStep TOTAL,TimeStep MEAN,TimeStep 6 MEAN,TimeStep 8 MEAN,TimeStep 12 MEAN,TimeStep 6 TOTAL,TimeStep 8 TOTAL,TimeStep 12 TOTAL,TimeStep TI,TimeStep 6 TI,TimeStep 8 TI,TimeStep 12 TI
u-ch427-n96-start-paper2-99,95,5.14,631.23,6.64,30.15,10.51,28.85,477.3,124.84,228.38,,,,
u-ch427-n96-start-paper-30,95,5.83,123.08,1.3,3.6,2.54,4.97,57.08,30.11,39.32,,,,
u-ch427-n96-start-paper-30-18-02,95,8.52,73.0,0.77,1.04,0.73,0.91,16.39,8.72,7.23,,,,
u-ch427-n96-start-paper-40,95,10.2,115.24,1.21,3.44,1.68,3.86,54.51,19.97,30.52,,,,
u-ch427-n96-start-paper-50,95,8.36,101.23,1.07,2.45,1.38,2.41,38.76,16.41,19.09,,,,
u-ch427-n96-start-paper-60,95,9.66,197.62,2.08,7.5,2.72,7.2,118.81,32.34,57.03,,,,
u-ch427-n96-start-paper-70,95,6.38,282.0,2.97,11.72,4.77,10.66,185.49,56.59,84.43,,,,
u-ch427-n96-start-paper-80,95,10.15,444.66,4.68,20.48,7.18,20.5,324.25,85.29,162.28,,,,
u-ch427-n96-start-paper-85,95,4.5,255.55,2.69,10.19,5.2,10.9,161.33,61.72,86.33,,,,
u-ch427-n96-start-paper-86,95,5.02,528.2,5.56,25.04,9.03,24.84,396.51,107.25,196.64,,,,
u-ch427-n96-start-paper-87,95,4.54,548.01,5.77,26.23,9.11,25.65,415.28,108.15,203.06,,,,
u-ch427-n96-start-paper-88,95,6.8,551.87,5.81,25.06,12.61,26.69,396.84,149.75,211.33,,,,
u-ch427-n96-start-paper-89,95,5.87,572.5,6.03,27.31,9.67,26.4,432.36,114.88,209.03,,,,
u-ch427-n96-start-paper-90,95,5.54,563.38,5.93,26.73,8.86,25.47,423.2,105.24,201.66,,,,
u-ch427-n96-start-paper-91,95,7.57,322.61,3.4,12.71,5.12,12.06,201.23,60.76,95.51,,,,
u-ch427-n96-start-paper-92,95,4.68,581.34,6.12,28.27,9.69,27.61,447.58,115.02,218.56,,,,
u-ch427-n96-start-paper-93,95,4.41,615.81,6.48,29.66,10.56,28.78,469.54,125.44,227.88,,,,
u-ch427-n96-start-paper-94,95,6.11,572.83,6.03,26.02,15.72,27.92,411.97,186.66,221.05,,,,
u-ch427-n96-start-paper-95,95,5.38,479.92,5.05,22.58,9.68,21.31,357.47,114.93,168.68,,,,
u-ch427-n96-start-paper-96,95,5.49,587.02,6.18,27.57,12.16,28.61,436.58,144.45,226.47,,,,
u-ch427-n96-start-paper-97,95,4.83,342.69,3.61,14.27,7.16,15.85,226.01,85.02,125.5,,,,
u-ch427-n96-start-paper-97-2,95,6.05,327.21,3.44,13.45,6.54,15.0,212.89,77.63,118.78,,,,
u-ch427-n96-start-paper-97-io,95,5.73,329.76,3.47,13.7,6.86,14.99,216.97,81.43,118.65,,,,
u-ch427-n96-start-paper-98,95,15.48,610.11,6.42,28.95,10.77,30.22,458.42,127.84,239.25,,,,
u-ch427-n96-start-paper-98-2,95,8.68,659.93,6.95,31.68,11.16,31.36,501.57,132.53,248.28,,,,
u-ch427-n96-start-paper-99,95,4.85,617.83,6.5,29.81,10.64,29.57,472.07,126.36,234.13,,,,
u-ch427-n96-start-paper-ms-00,95,9.13,60.57,0.64,0.51,0.5,0.45,8.0,5.91,3.54,,,,
u-ch427-n96-start-paper-ms-x0-prec-00,95,8.24,59.67,0.63,0.51,0.5,0.45,8.01,5.91,3.53,,,,
u-ch427-n96-start-paper-ms-x0-prec-01,95,8.65,65.05,0.68,0.61,0.57,0.55,9.59,6.76,4.33,,,,
u-ch427-n96-start-paper-ms-x0-prec-02,95,7.57,64.35,0.68,0.63,0.58,0.57,10.04,6.87,4.51,,,,
u-ch427-n96-start-paper-ms-x0-prec-03,95,5.58,63.19,0.67,0.67,0.6,0.61,10.62,7.13,4.8,,,,
u-ch427-n96-start-paper-ms-x0-prec-04,95,5.24,64.77,0.68,0.74,0.73,0.71,11.64,8.7,5.63,,,,
u-ch427-n96-start-paper-ms-x0-prec-05,95,7.04,67.24,0.71,0.77,0.77,0.76,12.16,9.18,6.04,,,,
u-ch427-n96-start-paper-ms-x0-prec-06,95,7.33,68.55,0.72,0.85,0.72,0.79,13.39,8.52,6.28,,,,
u-ch427-n96-start-paper-ms-x0-prec-07,95,8.22,71.44,0.75,0.97,0.73,0.98,15.32,8.68,7.75,,,,
u-ch427-n96-start-paper-ms-x0-prec-08,95,8.97,79.45,0.84,1.28,0.95,1.31,20.25,11.3,10.38,,,,
u-ch427-n96-start-paper-ms-x0-prec-09,95,6.98,86.38,0.91,1.67,1.3,1.64,26.36,15.42,13.01,,,,
u-ch427-n96-start-paper-ms-x0-prec-10,95,6.31,91.01,0.96,1.94,1.47,2.01,30.77,17.46,15.92,,,,
u-ch427-n96-start-paper-ms-x0-prec-100,95,4.26,1434.84,15.1,70.01,32.31,71.75,1108.53,383.71,568.01,,,,
u-ch427-n96-start-paper-ms-x0-prec-100-active,95,21.69,1656.88,17.44,63.82,33.14,65.01,1010.42,393.57,514.65,,,,
u-ch427-n96-start-paper-ms-x0-prec-100-active-all,95,9.02,1358.34,14.3,65.24,26.88,64.32,1032.92,319.25,509.2,,,,
u-ch427-n96-start-paper-ms-x0-prec-110,95,4.96,1680.6,17.69,81.46,38.0,83.01,1289.75,451.21,657.13,,,,
u-ch427-n96-start-paper-ms-x0-prec-120,95,3.55,1975.66,20.8,97.79,48.82,103.35,1548.31,579.71,818.15,,,,
u-ch427-n96-start-paper-ms-x0-prec-20,95,7.19,158.23,1.67,5.31,2.86,5.51,84.12,33.95,43.6,,,,
u-ch427-n96-start-paper-ms-x0-prec-30,95,6.46,229.64,2.42,8.83,4.71,9.54,139.82,55.94,75.55,,,,
u-ch427-n96-start-paper-ms-x0-prec-40,95,7.76,302.44,3.18,12.49,6.14,13.04,197.7,72.91,103.22,,,,
u-ch427-n96-start-paper-ms-x0-prec-50,95,8.18,324.26,3.41,13.75,6.46,15.03,217.77,76.67,119.03,,,,
u-ch427-n96-start-paper-ms-x0-prec-60,95,8.48,495.39,5.21,21.53,10.94,23.18,340.87,129.95,183.54,,,,
u-ch427-n96-start-paper-ms-x0-prec-70,95,6.05,638.32,6.72,29.32,11.4,29.01,464.3,135.33,229.66,,,,
u-ch427-n96-start-paper-ms-x0-prec-80,95,4.61,945.24,9.95,44.84,20.63,45.71,709.93,245.01,361.84,,,,
u-ch427-n96-start-paper-ms-x0-prec-90,95,3.92,1189.33,12.52,56.89,26.99,58.44,900.76,320.5,462.65,,,,
u-ch427-n96-start-paper-prec-00,95,6.99,58.42,0.61,0.5,0.5,0.44,7.99,5.94,3.52,,,,
u-ch427-n96-start-paper-x0-00,95,7.46,58.78,0.62,0.5,0.5,0.44,7.98,5.9,3.52,,,,
u-ch427-n96-start-paper-x0-01,95,6.77,62.22,0.65,0.56,0.55,0.5,8.93,6.47,3.97,,,,
u-ch427-n96-start-paper-x0-02,95,6.36,62.28,0.66,0.58,0.55,0.51,9.21,6.52,4.04,,,,
u-ch427-n96-start-paper-x0-03,95,7.62,63.8,0.67,0.61,0.57,0.54,9.6,6.79,4.3,,,,
u-ch427-n96-start-paper-x0-04,95,7.69,64.98,0.68,0.67,0.56,0.55,10.65,6.69,4.34,,,,
u-ch427-n96-start-paper-x0-05,95,6.15,62.47,0.66,0.61,0.56,0.55,9.66,6.68,4.37,,,,
u-ch427-n96-start-paper-x0-06,95,6.8,65.44,0.69,0.72,0.62,0.64,11.38,7.42,5.03,,,,
u-ch427-n96-start-paper-x0-07,95,7.09,64.09,0.67,0.65,0.58,0.57,10.22,6.87,4.53,,,,
u-ch427-n96-start-paper-x0-08,95,7.25,65.5,0.69,0.71,0.62,0.65,11.17,7.39,5.12,,,,
u-ch427-n96-start-paper-x0-09,95,7.76,68.64,0.72,0.84,0.67,0.8,13.32,7.92,6.31,,,,
u-ch427-n96-start-paper-x0-10,95,7.69,69.29,0.73,0.88,0.72,0.8,13.92,8.58,6.31,,,,
u-ch427-n96-start-paper-x0-100,95,7.37,615.23,6.48,28.47,12.66,26.69,450.72,150.32,211.29,,,,
u-ch427-n96-start-paper-x0-110,95,10.4,799.22,8.41,38.76,13.96,38.36,613.62,165.77,303.68,,,,
u-ch427-n96-start-paper-x0-120,95,10.4,972.26,10.23,47.97,16.98,46.62,759.58,201.67,369.11,,,,
u-ch427-n96-start-paper-x0-20,95,7.75,101.71,1.07,2.43,1.85,2.85,38.48,21.99,22.58,,,,
u-ch427-n96-start-paper-x0-30,95,5.11,108.5,1.14,2.86,1.64,3.57,45.29,19.52,28.25,,,,
u-ch427-n96-start-paper-x0-40,95,15.31,163.28,1.72,5.06,2.27,4.86,80.04,26.95,38.45,,,,
u-ch427-n96-start-paper-x0-50,95,8.03,113.98,1.2,3.2,1.52,2.67,50.65,18.02,21.15,,,,
u-ch427-n96-start-paper-x0-60,95,23.26,224.12,2.36,7.77,4.03,7.72,122.96,47.84,61.13,,,,
u-ch427-n96-start-paper-x0-70,95,5.67,324.19,3.41,13.63,7.34,14.31,215.86,87.11,113.31,,,,
u-ch427-n96-start-paper-x0-80,95,24.41,524.09,5.52,22.62,12.58,24.81,358.13,149.33,196.4,,,,
u-ch427-n96-start-paper-x0-90,95,8.45,592.1,6.23,28.22,10.45,27.7,446.77,124.07,219.32,,,,
u-ch427-n96-start-paper-x0-97,95,4.82,328.82,3.46,13.72,6.89,15.09,217.16,81.86,119.44,,,,
u-ch427-n96-start-paper-x0-97-2,95,14.86,315.12,3.32,12.77,6.53,13.61,202.22,77.51,107.77,,,,
u-ch427-n96-start-paper-x0-97-io,95,5.65,328.89,3.46,13.57,6.56,14.59,214.8,77.89,115.49,,,,
u-ch427-n96-start-paper-x0-98,95,10.03,610.02,6.42,29.39,9.92,28.63,465.32,117.82,226.66,,,,
u-ch427-n96-start-paper-x0-98-2,95,14.46,618.47,6.51,29.08,12.9,28.86,460.37,153.2,228.45,,,,
u-ch427-n96-start-paper-x0-99,95,4.51,663.83,6.99,32.0,10.99,31.89,506.66,130.45,252.44,,,,
u-ch427-n96-start-paper-x0-prec-00,95,6.49,57.32,0.6,0.5,0.49,0.44,7.91,5.85,3.48,,,,
u-ch427-n96-xml-temp,95,7.56,59.74,0.63,0.53,0.5,0.45,8.37,5.96,3.53,,,,
u-ch427-n96-xml-temp2,95,7.03,58.99,0.62,0.51,0.5,0.45,8.02,5.95,3.53,,,,
u-ch427-n96-xml-temp20,95,7.53,59.28,0.62,0.51,0.5,0.45,8.0,5.94,3.53,,,,
u-ch427-n96-xml-temp2-01,95,7.72,60.41,0.64,0.52,0.51,0.46,8.19,6.07,3.61,,,,
u-ch427-n96-xml-temp2-02,95,7.63,62.4,0.66,0.54,0.53,0.48,8.57,6.32,3.78,,,,
u-ch427-n96-xml-temp2-02-2,95,8.1,62.97,0.66,0.54,0.53,0.48,8.56,6.35,3.79,,,,
u-ch427-n96-xml-temp21,95,8.01,59.9,0.63,0.51,0.51,0.45,8.01,6.09,3.53,,,,
u-ch427-n96-xml-temp24,95,8.25,60.04,0.63,0.51,0.5,0.45,8.02,5.97,3.54,,,,
u-ch427-n96-xml-temp25,95,8.28,60.1,0.63,0.51,0.5,0.45,8.06,5.99,3.56,,,,
u-ch427-n96-xml-temp27,95,6.61,58.17,0.61,0.51,0.5,0.45,8.0,5.94,3.53,,,,
u-ch427-n96-xml-temp29,95,8.5,60.06,0.63,0.51,0.5,0.45,8.01,5.94,3.53,,,,
u-ch427-n96-xml-temp4,95,6.47,58.75,0.62,0.51,0.51,0.45,8.13,6.04,3.58,,,,
u-ch427-n96-xml-temp40,95,8.56,61.65,0.65,0.52,0.51,0.46,8.24,6.1,3.63,,,,
u-ch427-n96-xml-temp5,95,5.86,57.99,0.61,0.51,0.5,0.45,8.06,5.97,3.54,,,,
u-ch427-n96-xml-temp6,95,6.96,59.02,0.62,0.51,0.5,0.45,8.11,5.99,3.57,,,,
u-ch427-n96-xml-temp7,95,6.83,59.13,0.62,0.51,0.52,0.46,8.15,6.12,3.62,,,,
u-ch427-n96-xml-temp8,95,8.02,60.03,0.63,0.51,0.5,0.45,8.05,5.96,3.55,,,,
u-ch427-n96-xml-temp9,95,7.03,58.85,0.62,0.51,0.5,0.45,8.05,5.99,3.55,,,,
