SUITE,TimeStep SIZE,TimeStep 0,TimeStep TOTAL,TimeStep MEAN,TimeStep 6 MEAN,TimeStep 8 MEAN,TimeStep 12 MEAN,TimeStep 6 TOTAL,TimeStep 8 TOTAL,TimeStep 12 TOTAL,TimeStep TI,TimeStep 6 TI,TimeStep 8 TI,TimeStep 12 TI
u-ch427-n1280-x5-orig-09,144,468.7,785.92,5.46,5.01,5.09,5.03,120.13,91.67,60.31,,,,
u-ch427-n1280-x-ms-00,144,478.06,762.45,5.29,5.06,4.96,4.95,121.55,89.2,59.36,,,,
u-ch427-n1280-x-ms-01,144,485.9,703.19,4.88,4.6,5.81,4.38,110.28,104.51,52.52,,,,
u-ch427-n1280-x-ms-02,144,478.94,848.15,5.89,5.47,5.67,5.38,131.18,102.11,64.54,,,,
u-ch427-n1280-x-ms-03,144,485.49,772.91,5.37,5.3,6.32,4.96,127.18,113.74,59.49,,,,
u-ch427-n1280-x-ms-04,144,466.4,954.74,6.63,6.31,6.57,6.48,151.43,118.18,77.8,,,,
u-ch427-n1280-x-ms-05,144,490.89,711.24,4.94,4.5,4.63,4.46,108.06,83.36,53.51,,,,
u-ch427-n1280-x-ms-06,144,490.4,710.4,4.93,5.51,6.2,6.43,132.34,111.52,77.11,,,,
u-ch427-n1280-x-ms-07,144,460.25,766.94,5.33,4.9,5.94,5.0,117.69,106.89,60.05,,,,
u-ch427-n1280-x-ms-08,144,486.56,753.92,5.24,5.2,4.98,5.12,124.69,89.72,61.43,,,,
u-ch427-n1280-x-ms-09,144,486.85,919.84,6.39,6.45,5.84,7.39,154.75,105.06,88.7,,,,
u-ch427-n1280-x-orig-00,144,485.39,727.84,5.05,4.85,5.91,4.92,116.4,106.4,59.06,,,,
u-ch427-n1280-x-orig-01,144,465.09,623.52,4.33,4.34,4.47,4.45,104.14,80.44,53.39,,,,
u-ch427-n1280-x-orig-02,144,463.36,723.86,5.03,4.93,4.64,5.08,118.41,83.57,60.93,,,,
u-ch427-n1280-x-orig-03,144,487.03,656.01,4.56,4.39,4.2,4.37,105.41,75.59,52.47,,,,
u-ch427-n1280-x-orig-04,144,507.74,669.1,4.65,4.15,4.6,4.05,99.61,82.85,48.59,,,,
u-ch427-n1280-x-orig-05,144,493.4,975.46,6.77,6.13,6.61,5.99,147.22,119.05,71.94,,,,
u-ch427-n1280-x-orig-06,144,466.16,973.12,6.76,6.61,6.63,7.26,158.62,119.41,87.12,,,,
u-ch427-n1280-x-orig-07,144,483.22,804.2,5.58,5.96,4.83,6.84,143.1,86.91,82.07,,,,
u-ch427-n1280-x-orig-08,144,470.91,887.2,6.16,6.65,5.66,6.41,159.51,101.9,76.91,,,,
u-ch427-n1280-x-orig-09,144,484.27,978.17,6.79,6.83,6.61,5.96,163.81,119.07,71.52,,,,
u-ch427-n216-start-paper-00,126,11.11,105.97,0.84,0.76,0.8,0.83,15.95,12.67,8.71,,,,
u-ch427-n216-start-paper-01,126,13.06,132.35,1.05,0.96,1.03,1.03,20.17,16.16,10.8,,,,
