
Total Size,u-ch427-n512-max18-mf-ens13,13,95849019579,93603264

Total Size,u-ch427-n512-max18-mf-ens14,14,101486753979,99108864

Total Size,u-ch427-n512-max18-mf-ens15,15,107124488379,104614464

Total Size,u-ch427-n512-max18-mf-ens16,16,112762222779,110120064

Total Size,u-ch427-n512-max18-mf-ens17,17,118399957179,115625664

Total Size,u-ch427-n512-max18-mf-ens18,18,124037691579,121131264



Total Size,u-ch427-n512-max18-single-ens00,0,0,0

Total Size,u-ch427-n512-max18-single-ens01,1,2667665010,2605152

Total Size,u-ch427-n512-max18-single-ens02,2,2667665010,2605152

Total Size,u-ch427-n512-max18-single-ens03,3,2667665010,2605152

Total Size,u-ch427-n512-max18-single-ens04,4,2667665010,2605152

Total Size,u-ch427-n512-max18-single-ens05,5,2667665010,2605152

Total Size,u-ch427-n512-max18-single-ens06,6,2667665010,2605152

Total Size,u-ch427-n512-max18-single-ens07,7,2667665010,2605152

Total Size,u-ch427-n512-max18-single-ens08,8,2667665010,2605148

Total Size,u-ch427-n512-max18-single-ens09,9,2667665010,2605148

Total Size,u-ch427-n512-max18-single-ens10,10,2667665010,2605152

Total Size,u-ch427-n512-max18-single-ens11,11,2667665010,2605152

Total Size,u-ch427-n512-max18-single-ens12,12,2667665010,2605148

Total Size,u-ch427-n512-max18-single-ens13,13,2667665010,2605152

Total Size,u-ch427-n512-max18-single-ens14,14,2667665010,2605148

Total Size,u-ch427-n512-max18-single-ens15,15,2667665010,2605152

Total Size,u-ch427-n512-max18-single-ens16,16,2667665010,2605152

Total Size,u-ch427-n512-max18-single-ens17,17,2667665010,2605152

Total Size,u-ch427-n512-max18-single-ens18,18,2667665010,2605148


