Suite, Netcdf File, Size, Size (bytes)
, true.x0_28.nc, 260M ,265344
, true.x0_29.nc, 260M ,265792
, true.x0_30.nc, 260M ,266052
, true.x0_31.nc, 260M ,266028
, true.x0_32.nc, 261M ,266672
, true.x0_33.nc, 261M ,266600
, true.x0_34.nc, 260M ,265696
, true.x0_35.nc, 260M ,265604
, true.x0_36.nc, 260M ,265320
, true.x0_37.nc, 258M ,263812
, true.x0_38.nc, 258M ,263992
, true.x0_39.nc, 258M ,263312
, true.x0_40.nc, 257M ,262508
, true.x0_41.nc, 256M ,261964
, true.x0_42.nc, 251M ,257000
, true.x0_43.nc, 248M ,253744
, true.x0_44.nc, 246M ,251044
, true.x0_45.nc, 248M ,253104
, true.x0_46.nc, 250M ,255952
, true.x0_47.nc, 253M ,259012
, true.x0_48.nc, 254M ,260036
, true.x0_49.nc, 255M ,260936
, true.x0_50.nc, 256M ,262068
, true.x0_51.nc, 258M ,263684
, true.x0_52.nc, 258M ,263268
, true.x0_53.nc, 257M ,262444
, true.x0_54.nc, 255M ,260296
, true.x0_55.nc, 255M ,260124
, true.x0_56.nc, 252M ,257208
, true.x0_57.nc, 250M ,255144
, true.x0_58.nc, 247M ,252284
, true.x0_59.nc, 245M ,250064
, true.x0_60.nc, 245M ,250524
, true.x0_61.nc, 247M ,252192
, true.x0_62.nc, 243M ,247912
, true.x0_63.nc, 231M ,236140
u-ch427-n1280-start-paper-pack0-x9,,Total Size,16185116

