SUITE,TIME,INITIAL,TIME-INITIAL,TIME-INITIAL-TOOK1,ENSEMBLE,RESOLUTION,NODES,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,JOB_ID,JOB_PID,TOOK
final-total-all-suites.csv,,,,,,,,,,,,,,
max18,,,,,,,,,,,,,,
max25,,,,,,,,,,,,,,
mean,,,,,,,,,,,,,,
ms,,,,,,,,,,,,,,
paper-pack,,,,,,,,,,,,,,
scripts,,,,,,,,,,,,,,
stdev,,,,,,,,,,,,,,
test,,,,,,,,,,,,,,
total,,,,,,,,,,,,,,
u-ch427-grenville,,,,,,,,,,,,,,
u-ch427-n216-ens32, 460.287 ,280.17,,,32,216,456,2021-12-29T01:43:50Z,2021-12-29T21:33:18Z,2021-12-29T21:46:01Z,SUCCEEDED,927034,148325,0.968
u-ch427-n216-ens33, 481.456 ,288.32,,,33,216,470,2021-12-29T01:45:29Z,2021-12-29T23:35:27Z,2021-12-29T23:48:54Z,SUCCEEDED,927040,190039,0.916
u-ch427-n216-ens34, 462.587 ,285.39,,,34,216,484,2021-12-29T01:46:20Z,2021-12-29T21:59:25Z,2021-12-29T22:12:33Z,SUCCEEDED,927043,236417,1.097
u-ch427-n216-ens35, 556.368 ,320.27,,,35,216,498,2021-12-29T01:46:31Z,2021-12-29T23:50:26Z,2021-12-30T00:05:22Z,SUCCEEDED,927044,73452,0.917
u-ch427-n216-ens36, 542.701 ,300.86,,,36,216,512,2021-12-29T01:46:20Z,2021-12-30T02:41:24Z,2021-12-30T02:56:23Z,SUCCEEDED,927042,47709,3.230
u-ch427-n216-ens37, 591.075 ,298.63,,,37,216,526,2021-12-29T01:47:15Z,2021-12-29T22:14:24Z,2021-12-29T22:30:21Z,SUCCEEDED,927045,39592,0.946
u-ch427-n216-ens38, 515.340 ,333.62,,,38,216,540,2021-12-29T01:47:41Z,2021-12-30T00:07:29Z,2021-12-30T00:22:09Z,SUCCEEDED,927050,137048,0.919
u-ch427-n216-ens39, 721.496 ,337.11,,,39,216,554,2021-12-29T01:47:23Z,2021-12-29T18:01:16Z,2021-12-29T18:19:42Z,SUCCEEDED,927046,117099,4.026
u-ch427-n216-ens40, 604.532 ,404.96,,,,216,,,,,,,,0.991
u-ch427-n216-ens41,,,,,41,216,582,2022-01-02T06:59:02Z,2022-01-02T07:39:26Z,2022-01-02T07:47:54Z,E,934858,119578,
u-ch427-n216-ens42,,,,,42,216,596,2021-12-31T06:17:09Z,2022-01-02T05:40:01Z,2022-01-02T05:59:59Z,E,931576,3846,0.672
u-ch427-n216-ens43,,,,,43,216,610,2021-12-31T06:42:25Z,2022-01-02T06:30:04Z,2022-01-02T06:38:52Z,E,931612,175643,
u-ch427-n216-ens44,,,,,44,216,624,2021-12-31T06:42:32Z,2022-01-02T06:40:08Z,2022-01-02T07:00:23Z,E,931614,235461,1.234
u-ch427-n216-ens45,,,,,45,216,638,2021-12-31T06:42:43Z,2022-01-02T06:09:02Z,2022-01-02T06:29:23Z,E,931615,110288,
u-ch427-n216-ens46,,,,,46,216,652,2022-01-02T16:54:33Z,2022-01-02T20:40:11Z,2022-01-02T20:54:45Z,E,935645,96202,
u-ch427-n216-ens47,,,,,47,216,666,2022-01-02T01:54:58Z,2022-01-02T07:32:23Z,2022-01-02T07:38:09Z,E,934611,114718,
u-ch427-n216-ens48,,,,,48,216,680,2021-12-31T06:42:59Z,2022-01-02T02:57:01Z,2022-01-02T03:17:13Z,E,931623,193478,0.665
u-ch427-n216-ens49,,,,,49,216,694,2021-12-31T06:43:01Z,2022-01-02T02:47:03Z,2022-01-02T02:56:15Z,E,931624,233235,
u-ch427-n216-ens50,,,,,50,216,708,2021-12-31T07:09:16Z,2022-01-02T03:52:02Z,2022-01-02T04:01:55Z,E,931671,47738,
u-ch427-n216-ens51,,,,,51,216,722,2021-12-31T07:09:21Z,2022-01-02T05:10:01Z,2022-01-02T05:20:06Z,E,931673,136412,
u-ch427-n216-ens52,,,,,52,216,736,2021-12-31T07:09:27Z,2022-01-02T05:29:01Z,2022-01-02T05:39:02Z,E,931674,204431,
u-ch427-n216-ens53,,,,,53,216,750,2021-12-31T07:09:37Z,2022-01-02T05:21:02Z,2022-01-02T05:28:02Z,E,931675,199096,
u-ch427-n216-ens54,,,,,54,216,764,2021-12-31T07:09:51Z,2022-01-02T04:31:00Z,2022-01-02T04:40:54Z,E,931676,131713,
u-ch427-n216-ens55,,,,,55,216,778,2021-12-31T07:10:01Z,2022-01-02T05:02:03Z,2022-01-02T05:08:56Z,E,931677,142389,
u-ch427-n216-ens56,,,,,56,216,792,2022-01-01T20:06:50Z,2022-01-02T08:28:11Z,2022-01-02T08:39:22Z,E,934222,121512,
u-ch427-n216-ens57,,,,,57,216,806,2021-12-31T07:15:19Z,2022-01-02T04:50:01Z,2022-01-02T05:00:57Z,E,931693,192763,
u-ch427-n216-ens58,,,,,58,216,820,2021-12-31T07:12:41Z,2022-01-02T02:36:03Z,2022-01-02T02:46:03Z,E,931680,226813,
u-ch427-n216-ens59,,,,,59,216,834,2021-12-31T07:13:14Z,2022-01-02T03:39:02Z,2022-01-02T03:46:15Z,E,931683,262025,
u-ch427-n216-ens60,,,,,60,216,848,2022-01-02T02:00:13Z,2022-01-02T08:41:15Z,2022-01-02T08:52:47Z,E,934625,21240,
u-ch427-n216-ens61,,,,,61,216,862,2021-12-31T07:14:20Z,2022-01-02T04:03:02Z,2022-01-02T04:15:00Z,E,931690,9875,
u-ch427-n216-ens62,,,,,62,216,876,2021-12-31T07:14:22Z,2022-01-02T04:18:02Z,2022-01-02T04:30:04Z,E,931691,70976,
u-ch427-n216-ens63,,,,,63,216,890,2022-01-02T07:00:32Z,2022-01-02T08:54:19Z,2022-01-02T09:07:07Z,E,934859,79359,
u-ch427-n216-ens64,,,,,64,216,904,2022-01-02T07:00:55Z,2022-01-02T09:08:18Z,2022-01-02T09:21:09Z,E,934861,140237,
u-ch427-n216-ens65,,,,,65,216,918,2022-01-02T07:41:00Z,2022-01-02T09:40:23Z,2022-01-02T09:52:05Z,E,934917,209857,
u-ch427-n216-ens66,,,,,66,216,932,2022-01-02T07:41:35Z,2022-01-02T09:22:23Z,2022-01-02T09:33:08Z,E,934919,201315,
u-ch427-n216-ens67,,,,,67,216,946,2022-01-02T07:41:49Z,2022-01-03T04:42:43Z,2022-01-03T05:17:53Z,E,934920,8710,
u-ch427-n216-ens68,,,,,68,216,960,2022-01-02T07:47:03Z,2022-01-04T03:36:47Z,2022-01-04T03:49:17Z,E,934941,210414,
u-ch427-n216-ens69,,,,,69,216,974,2022-01-02T07:47:18Z,2022-01-04T03:56:56Z,2022-01-04T04:09:35Z,E,934944,250497,
u-ch427-n216-ens70,,,,,70,216,988,2022-01-02T07:42:40Z,2022-01-03T05:19:16Z,2022-01-03T05:46:08Z,E,934927,173553,
u-ch427-n216-ens71,,,,,71,216,1002,2022-01-02T07:42:39Z,2022-01-03T02:08:58Z,2022-01-03T02:38:09Z,E,934926,239019,
