SUITE,TIME,INITIAL,TIME-INITIAL,TIME-INITIAL-TOOK1,ENSEMBLE,RESOLUTION,NODES,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,JOB_ID,JOB_PID,TOOK
final-total-all-suites.csv,,,,,,,,,,,,,,
max18,,,,,,,,,,,,,,
max25,,,,,,,,,,,,,,
mean,,,,,,,,,,,,,,
ms,,,,,,,,,,,,,,
paper-pack,,,,,,,,,,,,,,
scripts,,,,,,,,,,,,,,
stdev,,,,,,,,,,,,,,
test,,,,,,,,,,,,,,
total,,,,,,,,,,,,,,
u-ch427-grenville,,,,,,,,,,,,,,
u-ch427-n96-ens32, 150.241 ,76.07,,,32,96,129,2021-12-26T23:01:10Z,2021-12-27T03:17:23Z,2021-12-27T03:21:21Z,SUCCEEDED,922213,49260,0.581
u-ch427-n96-ens33, 152.080 ,67.04,,,33,96,133,2021-12-26T23:01:22Z,2021-12-27T03:17:23Z,2021-12-27T03:21:25Z,SUCCEEDED,922214,205503,0.554
u-ch427-n96-ens34, 147.549 ,81.62,,,34,96,137,2021-12-26T23:06:35Z,2021-12-27T03:37:23Z,2021-12-27T03:41:42Z,SUCCEEDED,922220,218648,0.552
u-ch427-n96-ens35, 146.503 ,81.44,,,35,96,141,2021-12-26T22:49:22Z,2021-12-27T02:59:20Z,2021-12-27T03:03:36Z,SUCCEEDED,922141,197262,0.557
u-ch427-n96-ens36, 164.019 ,83.48,,,36,96,145,2021-12-26T22:49:26Z,2021-12-27T03:04:25Z,2021-12-27T03:08:58Z,SUCCEEDED,922142,217202,0.556
u-ch427-n96-ens37, 154.402 ,85.08,,,37,96,149,2021-12-26T23:03:32Z,2021-12-27T03:28:22Z,2021-12-27T03:32:46Z,SUCCEEDED,922215,240107,0.577
u-ch427-n96-ens38, 168.480 ,84.14,,,38,96,153,2021-12-29T15:18:36Z,2021-12-29T15:26:31Z,2021-12-29T15:31:11Z,SUCCEEDED,928061,259355,0.554
u-ch427-n96-ens39, 155.560 ,86.23,,,39,96,157,2021-12-26T23:08:34Z,2021-12-27T03:29:21Z,2021-12-27T03:33:49Z,SUCCEEDED,922221,165563,0.550
u-ch427-n96-ens40, 170.842 ,98.22,,,40,96,161,2021-12-26T23:08:41Z,2021-12-27T03:22:24Z,2021-12-27T03:27:08Z,SUCCEEDED,922222,225090,0.574
u-ch427-n96-ens41, 172.658 ,98.70,,,41,96,165,2021-12-26T23:22:17Z,2021-12-27T03:40:21Z,2021-12-27T03:45:05Z,SUCCEEDED,922239,29567,1.719
u-ch427-n96-ens42, 172.808 ,99.99,,,42,96,169,2021-12-26T23:22:26Z,2021-12-27T03:34:20Z,2021-12-27T03:39:05Z,SUCCEEDED,922240,8974,0.553
u-ch427-n96-ens43, 179.588 ,81.59,,,43,96,173,2021-12-26T23:22:32Z,2021-12-27T03:35:22Z,2021-12-27T03:40:37Z,SUCCEEDED,922241,20635,0.555
u-ch427-n96-ens44, 184.311 ,91.52,,,44,96,177,2021-12-26T23:22:40Z,2021-12-27T03:29:21Z,2021-12-27T03:34:37Z,SUCCEEDED,922243,96842,0.564
u-ch427-n96-ens45, 179.724 ,102.22,,,45,96,181,2021-12-26T23:22:53Z,2021-12-27T03:29:21Z,2021-12-27T03:34:37Z,SUCCEEDED,922244,197446,0.559
u-ch427-n96-ens46, 190.657 ,103.37,,,46,96,185,2021-12-28T00:09:31Z,2021-12-28T00:27:27Z,2021-12-28T00:32:33Z,SUCCEEDED,924629,232585,3.072
u-ch427-n96-ens47, 179.643 ,103.63,,,47,96,189,2021-12-27T22:15:42Z,2021-12-27T22:16:26Z,2021-12-27T22:21:42Z,SUCCEEDED,924288,201208,0.794
u-ch427-n96-ens48, 180.657 ,103.28,,,48,96,193,2021-12-27T22:19:22Z,2021-12-27T23:22:26Z,2021-12-27T23:27:23Z,SUCCEEDED,924293,92216,0.591
u-ch427-n96-ens49, 181.658 ,103.89,,,49,96,197,2021-12-28T01:28:54Z,2021-12-28T01:36:24Z,2021-12-28T01:41:44Z,SUCCEEDED,924935,39497,0.562
u-ch427-n96-ens50, 192.924 ,110.52,,,50,96,201,2021-12-28T01:29:39Z,2021-12-28T04:06:25Z,2021-12-28T04:11:54Z,SUCCEEDED,924936,236261,0.577
u-ch427-n96-ens51, 187.768 ,105.52,,,51,96,205,2021-12-27T13:50:40Z,2021-12-27T19:00:26Z,2021-12-27T19:05:53Z,SUCCEEDED,923447,62983,0.564
u-ch427-n96-ens52, 195.833 ,94.30,,,52,96,209,2021-12-27T13:50:48Z,2021-12-27T18:52:21Z,2021-12-27T18:58:19Z,SUCCEEDED,923448,156078,0.568
u-ch427-n96-ens53, 236.003 ,112.20,,,53,96,213,2021-12-27T13:51:02Z,2021-12-27T18:52:21Z,2021-12-27T18:58:37Z,SUCCEEDED,923449,40571,0.971
u-ch427-n96-ens54, 227.580 ,126.25,,,54,96,217,2021-12-27T13:51:15Z,2021-12-27T19:00:27Z,2021-12-27T19:06:59Z,SUCCEEDED,923450,177845,0.998
u-ch427-n96-ens55, 217.521 ,110.60,,,55,96,221,2021-12-27T13:51:23Z,2021-12-27T19:02:21Z,2021-12-27T19:08:19Z,SUCCEEDED,923451,133331,0.575
u-ch427-n96-ens56, 223.291 ,108.52,,,56,96,225,2021-12-27T22:16:47Z,2021-12-27T23:54:22Z,2021-12-28T00:00:31Z,SUCCEEDED,924290,44926,0.574
u-ch427-n96-ens57, 257.914 ,123.31,,,57,96,229,2021-12-27T13:51:40Z,2021-12-27T19:09:20Z,2021-12-27T19:16:20Z,SUCCEEDED,923453,31803,0.993
u-ch427-n96-ens58, 229.470 ,113.45,,,58,96,233,2021-12-27T13:51:49Z,2021-12-27T19:17:20Z,2021-12-27T19:23:51Z,SUCCEEDED,923457,160883,0.592
u-ch427-n96-ens59, 263.412 ,106.20,,,59,96,237,2021-12-27T13:51:58Z,2021-12-27T19:17:19Z,2021-12-27T19:24:03Z,SUCCEEDED,923461,244935,0.993
u-ch427-n96-ens60, 230.147 ,115.43,,,60,96,241,2021-12-27T22:14:22Z,2021-12-27T22:49:26Z,2021-12-27T22:55:42Z,SUCCEEDED,924286,28448,1.279
u-ch427-n96-ens61,,,,,,96,,,,,,,,
u-ch427-n96-ens62, 238.059 ,122.02,,,62,96,249,2021-12-27T14:07:37Z,2021-12-27T19:22:47Z,2021-12-27T19:29:53Z,SUCCEEDED,923531,54752,0.578
u-ch427-n96-ens63, 237.250 ,116.33,,,63,96,253,2021-12-27T22:12:30Z,2021-12-27T22:23:21Z,2021-12-27T22:30:07Z,SUCCEEDED,924285,222543,2.092
u-ch427-n96-ens64, 244.146 ,126.47,,,64,96,257,2021-12-27T14:07:55Z,2021-12-27T19:25:16Z,2021-12-27T19:32:11Z,SUCCEEDED,923533,183011,0.583
u-ch427-n96-ens65, 261.354 ,126.58,,,65,96,261,2021-12-27T14:08:07Z,2021-12-27T19:25:16Z,2021-12-27T19:32:21Z,SUCCEEDED,923534,220853,1.161
u-ch427-n96-ens66, 242.941 ,129.82,,,66,96,265,2021-12-27T22:11:26Z,2021-12-27T23:02:27Z,2021-12-27T23:09:20Z,SUCCEEDED,924283,3952,2.727
u-ch427-n96-ens67, 254.496 ,133.41,,,67,96,269,2021-12-27T23:22:07Z,2021-12-28T00:47:29Z,2021-12-28T00:54:40Z,SUCCEEDED,924548,155291,0.594
u-ch427-n96-ens68, 253.984 ,134.27,,,68,96,273,2021-12-27T14:08:34Z,2021-12-27T19:09:20Z,2021-12-27T19:16:46Z,SUCCEEDED,923536,137808,3.162
u-ch427-n96-ens69, 255.690 ,132.27,,,69,96,277,2021-12-27T13:55:32Z,2021-12-27T18:52:19Z,2021-12-27T19:00:07Z,SUCCEEDED,923502,38781,3.227
u-ch427-n96-ens70, 271.867 ,137.29,,,70,96,281,2021-12-27T15:13:42Z,2021-12-27T19:33:18Z,2021-12-27T19:41:23Z,SUCCEEDED,923650,151050,3.603
u-ch427-n96-ens71, 282.923 ,145.20,,,71,96,285,2021-12-27T22:46:26Z,2021-12-28T00:12:23Z,2021-12-28T00:20:03Z,SUCCEEDED,924401,68415,3.994
u-ch427-n96-ens72, 285.906 ,138.53,,,72,96,289,2021-12-27T15:14:10Z,2021-12-27T19:42:20Z,2021-12-27T19:50:44Z,SUCCEEDED,923652,173965,3.909
u-ch427-n96-ens73, 284.121 ,138.63,,,73,96,293,2021-12-27T15:14:20Z,2021-12-27T19:43:20Z,2021-12-27T19:51:39Z,SUCCEEDED,923653,229102,0.965
u-ch427-n96-ens74, 271.310 ,140.29,,,74,96,297,2021-12-27T15:14:29Z,2021-12-27T19:52:21Z,2021-12-27T20:00:39Z,SUCCEEDED,923654,124052,2.846
u-ch427-n96-ens75, 271.548 ,137.84,,,75,96,301,2021-12-27T15:19:07Z,2021-12-27T20:01:20Z,2021-12-27T20:09:29Z,SUCCEEDED,923655,147619,0.887
u-ch427-n96-ens76, 295.592 ,142.04,,,76,96,305,2021-12-27T15:02:00Z,2021-12-27T19:33:18Z,2021-12-27T19:41:54Z,SUCCEEDED,923630,205234,1.005
u-ch427-n96-ens77, 323.258 ,143.30,,,77,96,309,2021-12-29T15:24:32Z,2021-12-29T18:03:30Z,2021-12-29T18:12:40Z,SUCCEEDED,928069,7747,3.956
u-ch427-n96-ens78, 292.024 ,150.61,,,78,96,313,2021-12-27T16:29:13Z,2021-12-27T20:20:19Z,2021-12-27T20:29:16Z,SUCCEEDED,923774,62416,1.018
u-ch427-n96-ens79, 292.159 ,141.85,,,79,96,317,2021-12-27T16:24:25Z,2021-12-27T20:10:20Z,2021-12-27T20:19:12Z,SUCCEEDED,923763,171136,4.652
u-ch427-n96-ens80, 333.412 ,143.30,,,80,96,321,2021-12-28T01:31:55Z,2021-12-28T07:02:22Z,2021-12-28T07:12:04Z,SUCCEEDED,924943,188097,5.473
u-ch427-n96-ens81, 310.211 ,157.10,,,81,96,325,2021-12-27T23:23:52Z,2021-12-28T00:57:28Z,2021-12-28T01:06:26Z,SUCCEEDED,924554,21508,6.865
u-ch427-n96-ens82, 328.363 ,147.98,,,82,96,329,2021-12-27T23:23:59Z,2021-12-28T00:47:30Z,2021-12-28T00:57:03Z,SUCCEEDED,924556,130357,7.240
u-ch427-n96-ens83, 311.459 ,159.14,,,83,96,333,2021-12-27T22:52:24Z,2021-12-27T23:11:22Z,2021-12-27T23:20:42Z,SUCCEEDED,924467,67795,2.883
u-ch427-n96-ens84, 347.190 ,148.95,,,84,96,337,2021-12-28T01:35:09Z,2021-12-28T06:18:22Z,2021-12-28T06:28:19Z,SUCCEEDED,924973,239158,6.413
u-ch427-n96-ens85, 342.552 ,156.30,,,85,96,341,2021-12-28T00:11:59Z,2021-12-28T01:03:29Z,2021-12-28T01:12:38Z,SUCCEEDED,924633,77244,0.623
u-ch427-n96-ens86, 317.605 ,155.96,,,86,96,345,2021-12-28T01:31:22Z,2021-12-28T05:32:32Z,2021-12-28T05:42:02Z,SUCCEEDED,924939,102153,6.833
u-ch427-n96-ens87, 360.696 ,168.67,,,87,96,349,2021-12-28T00:12:19Z,2021-12-28T01:24:22Z,2021-12-28T01:34:39Z,SUCCEEDED,924635,74564,2.535
u-ch427-n96-ens88, 340.293 ,154.88,,,88,96,353,2021-12-28T13:54:41Z,2021-12-28T20:28:27Z,2021-12-28T20:38:24Z,SUCCEEDED,925655,18163,2.691
u-ch427-n96-ens89, 369.330 ,176.90,,,89,96,357,2021-12-28T13:54:30Z,2021-12-28T20:22:30Z,2021-12-28T20:32:14Z,SUCCEEDED,925653,3078,2.480
u-ch427-n96-ens90,,,,,90,96,361,2022-01-02T23:57:06Z,2022-01-03T00:55:05Z,2022-01-03T01:05:13Z,E,936300,182260,0.913
u-ch427-n96-ens91, 404.181 ,166.80,,,91,96,365,2021-12-29T00:46:16Z,2021-12-29T23:22:30Z,2021-12-29T23:33:53Z,SUCCEEDED,926816,164405,6.606
u-ch427-n96-ens92, 358.913 ,157.63,,,92,96,369,2021-12-29T00:46:11Z,2021-12-29T21:47:28Z,2021-12-29T21:58:12Z,SUCCEEDED,926815,211368,2.669
u-ch427-n96-ens93, 413.375 ,174.00,,,93,96,373,2021-12-29T15:22:48Z,2021-12-30T07:31:46Z,2021-12-30T07:43:00Z,SUCCEEDED,928064,241333,8.325
u-ch427-n96-ens94, 406.553 ,161.54,,,94,96,377,2021-12-29T00:30:49Z,2021-12-29T00:45:33Z,2021-12-29T00:57:28Z,SUCCEEDED,926801,219048,8.335
u-ch427-n96-ens95, 429.955 ,175.81,,,95,96,381,2021-12-29T00:35:39Z,2021-12-29T16:55:18Z,2021-12-29T17:07:33Z,SUCCEEDED,926805,194540,8.903
u-ch427-n96-ens96, 432.791 ,184.42,,,96,96,385,2021-12-29T00:35:29Z,2021-12-29T01:32:33Z,2021-12-29T01:44:50Z,SUCCEEDED,926804,12583,9.086
u-ch427-n96-ens97, 369.422 ,167.12,,,97,96,389,2021-12-29T00:35:41Z,2021-12-29T17:08:17Z,2021-12-29T17:19:56Z,SUCCEEDED,926806,220860,1.531
u-ch427-n96-ens98, 456.115 ,173.25,,,98,96,393,2021-12-29T00:40:58Z,2021-12-29T18:13:21Z,2021-12-29T18:26:06Z,SUCCEEDED,926807,32238,9.512
u-ch427-n96-ens99, 401.758 ,167.74,,,99,96,397,2021-12-29T01:37:41Z,2021-12-30T02:57:17Z,2021-12-30T03:09:36Z,SUCCEEDED,927001,111400,12.631
u-ch427-n96-paper-ens00, 62.945 ,11.86,,,0,,5,2022-03-15T22:16:38Z,2022-03-15T22:17:18Z,2022-03-15T22:18:34Z,SUCCEEDED,1260036,243619,0.503
u-ch427-n96-paper-ens01, 67.209 ,11.16,,,1,,5,2022-03-15T22:16:51Z,2022-03-15T22:17:18Z,2022-03-15T22:18:40Z,SUCCEEDED,1260037,118613,0.580
u-ch427-n96-paper-ens02, 72.781 ,13.12,,,2,,9,2022-03-15T22:17:01Z,2022-03-15T22:17:18Z,2022-03-15T22:18:48Z,SUCCEEDED,1260038,261346,2.463
u-ch427-n96-paper-ens03, 72.264 ,13.32,,,3,,13,2022-03-15T22:52:08Z,2022-03-15T22:52:51Z,2022-03-15T22:54:21Z,SUCCEEDED,1260410,236144,0.609
u-ch427-n96-paper-ens04, 71.709 ,13.00,,,4,,17,2022-03-15T22:20:34Z,2022-03-15T22:22:01Z,2022-03-15T22:23:35Z,SUCCEEDED,1260053,51583,0.786
u-ch427-n96-paper-ens05, 71.029 ,14.31,,,5,,21,2022-03-15T22:17:38Z,2022-03-15T22:19:37Z,2022-03-15T22:21:30Z,SUCCEEDED,1260039,35681,0.916
u-ch427-n96-paper-ens06, 81.729 ,13.97,,,6,,25,2022-03-15T22:12:48Z,2022-03-15T22:16:31Z,2022-03-15T22:18:36Z,SUCCEEDED,1260027,76789,0.866
u-ch427-n96-paper-ens07, 73.283 ,14.32,,,7,,29,2022-03-15T22:18:00Z,2022-03-15T22:19:37Z,2022-03-15T22:21:35Z,SUCCEEDED,1260040,119607,1.095
u-ch427-n96-paper-ens08, 80.887 ,14.44,,,8,,33,2022-03-15T22:13:13Z,2022-03-15T22:16:31Z,2022-03-15T22:18:38Z,SUCCEEDED,1260028,102914,0.850
u-ch427-n96-paper-ens09, 81.318 ,16.03,,,9,,37,2022-03-15T22:18:24Z,2022-03-15T22:22:01Z,2022-03-15T22:24:10Z,SUCCEEDED,1260042,109053,1.037
u-ch427-n96-paper-ens10,,,,,100,,401,2022-03-20T18:45:19Z,2022-03-20T18:45:40Z,2022-03-20T19:02:09Z,E,1287084,120358,
u-ch427-n96-paper-ens11,,,,,111,,445,2022-03-20T18:50:56Z,2022-03-20T20:28:03Z,2022-03-20T20:45:32Z,E,1287165,148771,
u-ch427-n96-paper-ens12,,,,,122,,489,2022-03-20T18:46:38Z,2022-03-20T20:10:00Z,2022-03-20T20:26:48Z,E,1287109,142196,
u-ch427-n96-paper-ens13,,,,,133,,533,2022-03-20T18:51:27Z,2022-03-20T20:09:38Z,2022-03-20T20:09:44Z,E,1287172,169467,
u-ch427-n96-paper-ens14,,,,,144,,577,2022-03-20T18:52:03Z,2022-03-20T21:15:15Z,2022-03-20T21:15:21Z,E,1287177,132268,
u-ch427-n96-paper-ens15,,,,,155,,621,2022-03-20T18:51:59Z,2022-03-20T19:15:07Z,2022-03-20T19:15:13Z,E,1287176,128374,
u-ch427-n96-paper-ens16,,,,,166,,665,2022-03-20T18:52:15Z,2022-03-21T02:16:29Z,2022-03-21T02:16:35Z,E,1287178,127215,
u-ch427-n96-paper-ens17,,,,,177,,709,2022-03-20T18:52:34Z,2022-03-20T19:14:21Z,2022-03-20T19:14:27Z,E,1287180,127198,
u-ch427-n96-paper-ens18,,,,,188,,753,2022-03-20T18:53:15Z,2022-03-21T10:37:31Z,2022-03-21T10:37:38Z,E,1287185,77834,
u-ch427-n96-paper-ens19,,,,,199,,797,2022-03-20T18:58:10Z,2022-03-21T10:37:54Z,2022-03-21T10:38:00Z,E,1287214,79004,
u-ch427-n96-paper-ens20, 123.280 ,25.05,,,20,,81,2022-03-18T18:51:09Z,2022-03-18T19:12:36Z,2022-03-18T19:16:07Z,SUCCEEDED,1275982,200524,3.898
u-ch427-n96-paper-ens21, 114.661 ,21.70,,,21,,85,2022-03-17T18:34:50Z,2022-03-18T00:39:06Z,2022-03-18T00:42:26Z,SUCCEEDED,1269766,149856,4.155
u-ch427-n96-paper-ens22,,,,,22,,89,2022-03-20T18:53:57Z,2022-03-20T20:09:38Z,2022-03-20T20:29:37Z,E,1287188,60545,
u-ch427-n96-paper-ens23,,,,,23,,93,2022-03-20T18:54:19Z,2022-03-20T19:50:35Z,2022-03-20T20:10:33Z,E,1287190,206795,
u-ch427-n96-paper-ens24,,,,,24,,97,2022-03-20T18:49:42Z,2022-03-20T18:53:12Z,2022-03-20T19:13:10Z,E,1287140,204369,
u-ch427-n96-paper-ens25,,,,,25,,101,2022-03-20T18:55:09Z,2022-03-20T20:47:01Z,2022-03-20T21:03:34Z,E,1287192,155419,
u-ch427-n96-paper-ens26,,,,,26,,105,2022-03-20T18:55:23Z,2022-03-20T20:47:05Z,2022-03-20T21:07:01Z,E,1287193,168048,
u-ch427-n96-paper-ens27,,,,,27,,109,2022-03-20T18:55:36Z,2022-03-20T20:47:01Z,2022-03-20T21:07:01Z,E,1287198,26972,
u-ch427-n96-paper-ens28,,,,,28,,113,2022-03-20T18:55:59Z,2022-03-20T20:47:01Z,2022-03-20T21:07:02Z,E,1287199,94502,
u-ch427-n96-paper-ens29,,,,,29,,117,2022-03-20T18:56:18Z,2022-03-20T21:07:20Z,2022-03-20T21:24:17Z,E,1287201,161396,
u-ch427-n96-paper-ens30,,,,,30,,121,2022-03-20T18:56:34Z,2022-03-20T21:56:32Z,2022-03-20T22:16:48Z,E,1287202,12489,
u-ch427-n96-paper-ens31,,,,,31,,125,2022-03-20T18:56:51Z,2022-03-20T22:13:35Z,2022-03-20T22:43:31Z,E,1287204,30767,
u-ch427-n96-paper-ens32,,,,,32,,129,2022-03-20T18:57:05Z,2022-03-20T22:10:37Z,2022-03-20T22:40:29Z,E,1287208,260292,
u-ch427-n96-paper-ens33,,,,,33,,133,2022-03-20T18:57:34Z,2022-03-20T22:51:46Z,2022-03-20T23:21:47Z,E,1287211,20634,
u-ch427-n96-paper-ens34,,,,,34,,137,2022-03-20T18:57:56Z,2022-03-20T22:02:38Z,2022-03-20T22:20:34Z,E,1287212,238693,
u-ch427-n96-paper-ens35,,,,,35,,141,2022-03-20T18:58:22Z,2022-03-20T22:43:57Z,2022-03-20T23:14:14Z,E,1287215,53657,
u-ch427-n96-paper-ens36,,,,,36,,145,2022-03-20T18:58:40Z,2022-03-20T22:40:54Z,2022-03-20T23:10:44Z,E,1287216,23295,
u-ch427-n96-paper-ens37,,,,,37,,149,2022-03-20T18:58:55Z,2022-03-20T23:23:43Z,2022-03-20T23:40:51Z,E,1287217,43621,
u-ch427-n96-paper-ens38,,,,,38,,153,2022-03-20T18:59:26Z,2022-03-20T23:15:06Z,2022-03-20T23:45:00Z,E,1287219,76772,
u-ch427-n96-paper-ens39,,,,,39,,157,2022-03-20T18:59:55Z,2022-03-21T00:01:02Z,2022-03-21T00:19:23Z,E,1287220,55291,
u-ch427-n96-paper-ens40,,,,,40,,161,2022-03-20T19:00:25Z,2022-03-20T23:11:24Z,2022-03-20T23:41:25Z,E,1287221,241195,
u-ch427-n96-paper-ens41,,,,,41,,165,2022-03-20T19:00:53Z,2022-03-21T00:13:13Z,2022-03-21T00:43:17Z,E,1287223,187192,
u-ch427-n96-paper-ens42,,,,,42,,169,2022-03-20T19:01:13Z,2022-03-21T00:16:32Z,2022-03-21T00:46:47Z,E,1287226,123182,
u-ch427-n96-paper-ens43,,,,,43,,173,2022-03-20T19:01:28Z,2022-03-20T23:43:57Z,2022-03-21T00:12:39Z,E,1287227,224179,
u-ch427-n96-paper-ens44,,,,,44,,177,2022-03-20T19:01:57Z,2022-03-20T23:45:58Z,2022-03-21T00:15:43Z,E,1287229,82742,
u-ch427-n96-paper-ens45,,,,,45,,181,2022-03-20T19:02:24Z,2022-03-20T22:20:52Z,2022-03-20T22:51:06Z,E,1287231,256793,
u-ch427-n96-paper-ens46,,,,,46,,185,2022-03-20T19:02:47Z,2022-03-20T23:43:57Z,2022-03-21T00:00:32Z,E,1287234,49219,
u-ch427-n96-paper-ens47,,,,,47,,189,2022-03-20T19:44:29Z,2022-03-21T00:57:24Z,2022-03-21T01:27:20Z,E,1287278,70476,
u-ch427-n96-paper-ens48,,,,,48,,193,2022-03-20T19:16:49Z,2022-03-21T00:19:50Z,2022-03-21T00:38:09Z,E,1287261,95424,
u-ch427-n96-paper-ens49,,,,,49,,197,2022-03-20T19:17:15Z,2022-03-21T00:38:32Z,2022-03-21T00:57:10Z,E,1287262,101817,
u-ch427-n96-paper-ens50,,,,,50,,201,2022-03-20T19:47:58Z,2022-03-21T01:28:03Z,2022-03-21T01:57:55Z,E,1287280,94777,
u-ch427-n96-paper-ens51,,,,,51,,205,2022-03-19T02:50:34Z,,,,1278913,,
u-ch427-n96-paper-ens52,,,,,52,,209,2022-03-19T02:49:14Z,,,,1278894,,
u-ch427-n96-paper-ens53,,,,,,,,,,,,,,
u-ch427-n96-paper-ens54,,,,,54,,217,2022-03-19T02:49:58Z,,,,1278908,,
u-ch427-n96-paper-ens55,,,,,55,,221,2022-03-19T02:50:16Z,,,,1278912,,
u-ch427-n96-paper-ens56,,,,,56,,225,2022-03-19T02:50:44Z,,,,1278915,,
u-ch427-n96-paper-ens57,,,,,57,,229,2022-03-19T02:50:54Z,,,,1278916,,
u-ch427-n96-paper-ens58,,,,,58,,233,2022-03-19T02:51:08Z,,,,1278922,,
u-ch427-n96-paper-ens59,,,,,59,,237,2022-03-19T02:51:34Z,,,,1278924,,
u-ch427-n96-paper-ens60,,,,,60,,241,2022-03-19T02:51:42Z,,,,1278928,,
u-ch427-n96-paper-ens61,,,,,61,,245,2022-03-19T02:52:00Z,,,,1278933,,
u-ch427-n96-paper-ens62,,,,,62,,249,2022-03-19T02:52:22Z,,,,1278937,,
u-ch427-n96-paper-ens63,,,,,63,,253,2022-03-19T02:52:44Z,,,,1278939,,
u-ch427-n96-paper-ens64,,,,,64,,257,2022-03-19T02:53:06Z,,,,1278942,,
u-ch427-n96-paper-ens65,,,,,,,,,,,,,,
u-ch427-n96-paper-ens66,,,,,,,,,,,,,,
u-ch427-n96-paper-ens67,,,,,67,,269,2022-03-19T02:53:54Z,,,,1278945,,
u-ch427-n96-paper-ens68,,,,,,,,,,,,,,
u-ch427-n96-paper-ens69,,,,,69,,277,2022-03-19T02:54:35Z,,,,1278951,,
u-ch427-n96-paper-ens70,,,,,70,,281,2022-03-19T02:55:01Z,,,,1278954,,
u-ch427-n96-paper-ens71,,,,,71,,285,2022-03-19T02:55:24Z,2022-03-19T03:01:26Z,2022-03-19T03:51:27Z,E,1278955,193900,
u-ch427-n96-paper-ens72,,,,,72,,289,2022-03-19T02:55:49Z,,,,1278957,,
u-ch427-n96-paper-ens73,,,,,73,,293,2022-03-19T02:56:16Z,,,,1278959,,
u-ch427-n96-paper-ens74,,,,,,,,,,,,,,
u-ch427-n96-paper-ens75,,,,,,,,,,,,,,
u-ch427-n96-paper-ens76,,,,,76,,305,2022-03-19T02:57:04Z,,,,1278962,,
u-ch427-n96-paper-ens77,,,,,,,,,,,,,,
u-ch427-n96-paper-ens78,,,,,78,,313,2022-03-19T02:57:53Z,,,,1278965,,
u-ch427-n96-paper-ens79,,,,,79,,317,2022-03-18T19:28:35Z,2022-03-18T23:20:06Z,2022-03-18T23:50:24Z,E,1276231,92970,
u-ch427-n96-paper-ens80,,,,,80,,321,2022-03-19T02:58:00Z,,,,1278966,,
u-ch427-n96-paper-ens81,,,,,81,,325,2022-03-19T03:03:23Z,,,,1278985,,
u-ch427-n96-paper-ens82,,,,,82,,329,2022-03-19T02:58:47Z,,,,1278968,,
u-ch427-n96-paper-ens83,,,,,,,,,,,,,,
u-ch427-n96-paper-ens84,,,,,84,,337,2022-03-19T02:59:36Z,,,,1278970,,
u-ch427-n96-paper-ens85,,,,,85,,341,2022-03-19T02:59:49Z,2022-03-19T03:02:20Z,2022-03-19T03:52:29Z,E,1278971,44299,
u-ch427-n96-paper-ens86,,,,,86,,345,2022-03-19T03:00:27Z,,,,1278972,,
u-ch427-n96-paper-ens87,,,,,87,,349,2022-03-19T03:02:24Z,,,,1278978,,
u-ch427-n96-paper-ens88,,,,,88,,353,2022-03-19T03:02:48Z,,,,1278982,,
u-ch427-n96-paper-ens89,,,,,89,,357,2022-03-19T03:03:05Z,,,,1278983,,
u-ch427-n96-paper-ens90,,,,,90,,361,2022-03-19T03:03:26Z,,,,1278986,,
u-ch427-n96-paper-ens91,,,,,91,,365,2022-03-19T03:03:38Z,,,,1278989,,
u-ch427-n96-paper-ens92,,,,,,,,,,,,,,
u-ch427-n96-paper-ens93,,,,,,,,,,,,,,
u-ch427-n96-paper-ens94,,,,,94,,377,2022-03-19T03:04:31Z,,,,1278993,,
u-ch427-n96-paper-ens95,,,,,95,,381,2022-03-19T03:04:44Z,,,,1278994,,
u-ch427-n96-paper-ens96,,,,,96,,385,2022-03-19T03:05:07Z,,,,1278995,,
u-ch427-n96-paper-ens97,,,,,97,,389,2022-03-19T03:05:27Z,,,,1278997,,
u-ch427-n96-paper-ens98,,,,,98,,393,2022-03-19T03:06:30Z,,,,1279000,,
u-ch427-n96-paper-ens99,,,,,99,,397,2022-03-19T03:07:31Z,2022-03-19T03:13:02Z,2022-03-19T04:03:14Z,E,1279003,9303,
u-ch427-n96-server-01,,,,,1,,5,2022-06-11T20:52:07Z,2022-06-11T20:52:15Z,2022-06-11T20:52:28Z,E,1806848,208532,
u-ch427-n96-server-02,,,,,1,,5,2022-06-11T20:52:07Z,2022-06-11T20:52:18Z,2022-06-11T20:52:29Z,E,1806849,183907,
u-ch427-n96-server-03,,,,,1,,5,2022-06-11T20:52:08Z,2022-06-11T20:52:18Z,2022-06-11T20:52:30Z,E,1806850,35849,
u-ch427-n96-server-04,,,,,1,,6,2022-06-11T20:52:08Z,2022-06-11T20:52:18Z,2022-06-11T20:52:31Z,E,1806851,112213,
u-ch427-n96-server-05,,,,,1,,5,2022-06-11T20:52:10Z,2022-06-11T20:52:42Z,2022-06-11T20:52:54Z,E,1806852,211211,
u-ch427-n96-server-06,,,,,1,,5,2022-06-11T20:52:10Z,2022-06-11T20:53:09Z,2022-06-11T20:53:21Z,E,1806855,213614,
u-ch427-n96-server-07,,,,,1,,10,2022-06-11T20:52:10Z,2022-06-11T20:52:42Z,2022-06-11T20:52:55Z,E,1806853,186314,
