SUITE,TIME,INITIAL,TIME-INITIAL,TIME-INITIAL-TOOK1,ENSEMBLE,RESOLUTION,NODES,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,JOB_ID,JOB_PID,TOOK,PROCX,PROCY,XIOS_NPROC
final-total-all-suites.csv,,,,,,,,,,,,,,,,,
mean,,,,,,,,,,,,,,,,,
ms,,,,,,,,,,,,,,,,,
n1280,,,,,,,,,,,,,,,,,
n216-ens,,,,,,,,,,,,,,,,,
n216-paper,,,,,,,,,,,,,,,,,
n512-ens,,,,,,,,,,,,,,,,,
n512-paper,,,,,,,,,,,,,,,,,
n96-ens,,,,,,,,,,,,,,,,,
n96-paper,,,,,,,,,,,,,,,,,
old-xml-scripts,,,,,,,,,,,,,,,,,
paper-pack,,,,,,,,,,,,,,,,,
scripts,,,,,,,,,,,,,,,,,
server,,,,,,,,,,,,,,,,,
stdev,,,,,,,,,,,,,,,,,
test,,,,,,,,,,,,,,,,,
total,,,,,,,,,,,,,,,,,
u-ch427-n1280-v2-x5-02, 2049.786 ,370.22,,,1,,126,2022-10-08T20:24:53Z,2022-10-08T20:25:03Z,2022-10-08T21:00:34Z,SUCCEEDED,2422408,165227,2.158,94,64,64
u-ch427-n1280-v2-x5-03, 2074.828 ,316.72,,,1,,126,2022-10-08T21:28:21Z,2022-10-08T21:28:31Z,2022-10-08T22:04:19Z,SUCCEEDED,2422710,105980,2.147,94,64,64
u-ch427-n1280-v2-x5-04, 1770.216 ,277.63,,,1,,126,2022-10-09T01:27:19Z,2022-10-09T01:27:29Z,2022-10-09T01:58:33Z,SUCCEEDED,2423178,176666,1.870,94,64,64
u-ch427-n1280-v2-x5-05, 1887.268 ,301.54,,,1,,126,2022-10-08T21:28:21Z,2022-10-08T21:28:31Z,2022-10-08T22:01:32Z,SUCCEEDED,2422712,100062,1.840,94,64,64
u-ch427-n1280-v2-x5-06, 1974.850 ,315.18,,,1,,126,2022-10-08T19:20:55Z,2022-10-08T19:25:21Z,2022-10-08T19:59:54Z,SUCCEEDED,2422235,47640,4.970,94,64,64
u-ch427-n1280-v2-x5-07, 1834.837 ,300.26,,,1,,126,2022-10-08T23:38:46Z,2022-10-08T23:38:57Z,2022-10-09T00:10:48Z,SUCCEEDED,2423056,54851,1.996,94,64,64
u-ch427-n1280-v2-x5-08, 1973.418 ,334.71,,,1,,126,2022-10-08T23:10:23Z,2022-10-08T23:10:35Z,2022-10-08T23:45:14Z,SUCCEEDED,2422951,261289,2.320,94,64,64
u-ch427-n1280-v2-x5-09, 1738.173 ,305.41,,,1,,126,2022-10-09T01:43:13Z,2022-10-09T01:43:23Z,2022-10-09T02:14:07Z,SUCCEEDED,2423300,155922,1.907,94,64,64
u-ch427-n1280-v2-x5-ms-00, 2139.020 ,380.20,,,1,,126,2022-10-11T00:42:14Z,2022-10-11T00:55:22Z,2022-10-11T01:33:22Z,SUCCEEDED,2431707,3388,4.631,94,64,64
u-ch427-n1280-v2-x5-ms-01, 3358.281 ,522.40,,,1,,126,2022-10-10T10:44:00Z,2022-10-10T14:56:12Z,2022-10-10T15:55:03Z,SUCCEEDED,2428127,199998,7.252,94,64,64
u-ch427-n1280-v2-x5-ms-02, 2262.839 ,438.27,,,1,,126,2022-10-10T20:15:28Z,2022-10-10T21:48:52Z,2022-10-10T22:29:29Z,SUCCEEDED,2430968,90351,7.549,94,64,64
u-ch427-n1280-v2-x5-ms-03, 2089.452 ,375.37,,,1,,126,2022-10-10T10:44:00Z,2022-10-10T16:21:50Z,2022-10-10T16:59:56Z,SUCCEEDED,2428132,68087,8.316,94,64,64
u-ch427-n1280-v2-x5-ms-04, 2068.906 ,374.09,,,1,,126,2022-10-09T23:56:48Z,2022-10-10T00:03:12Z,2022-10-10T00:40:37Z,SUCCEEDED,2426613,12165,10.502,94,64,64
u-ch427-n1280-v2-x5-ms-05, 2395.299 ,455.05,,,1,,126,2022-10-09T23:40:42Z,2022-10-09T23:56:07Z,2022-10-10T00:39:13Z,SUCCEEDED,2426582,31825,10.165,94,64,64
u-ch427-n1280-v2-x5-ms-06, 2040.838 ,435.69,,,1,,126,2022-10-10T10:44:00Z,2022-10-10T16:53:24Z,2022-10-10T17:30:47Z,SUCCEEDED,2428133,115393,12.602,94,64,64
u-ch427-n1280-v2-x5-ms-07, 3170.237 ,500.53,,,1,,126,2022-10-10T10:44:01Z,2022-10-10T16:56:18Z,2022-10-10T17:53:23Z,SUCCEEDED,2428134,208164,24.227,94,64,64
u-ch427-n1280-v2-x5-ms-08, 2144.258 ,399.42,,,1,,126,2022-10-10T10:44:01Z,2022-10-10T17:08:22Z,2022-10-10T17:49:52Z,SUCCEEDED,2428135,228449,12.210,94,64,64
u-ch427-n1280-v2-x5-ms-09, 2346.547 ,453.13,,,1,,126,2022-10-10T10:44:02Z,2022-10-10T17:37:14Z,2022-10-10T18:35:45Z,SUCCEEDED,2428137,48125,38.023,94,64,64
u-ch427-n1280-v2-x5-orig-00, 1853.379 ,393.58,,,1,,126,2022-10-09T22:47:36Z,2022-10-09T23:17:46Z,2022-10-09T23:50:16Z,SUCCEEDED,2426392,174854,1.995,94,64,64
u-ch427-n1280-v2-x5-orig-01, 1886.175 ,367.90,,,1,,126,2022-10-09T23:56:53Z,2022-10-10T00:02:42Z,2022-10-10T00:36:07Z,SUCCEEDED,2426614,57460,2.037,94,64,64
u-ch427-n1280-v2-x5-orig-02, 1815.333 ,400.79,,,1,,126,2022-10-10T05:09:39Z,2022-10-10T05:09:49Z,2022-10-10T05:41:55Z,SUCCEEDED,2426981,21585,2.089,94,64,64
u-ch427-n1280-v2-x5-orig-03, 1824.790 ,392.45,,,1,,126,2022-10-10T15:52:18Z,2022-10-10T18:27:46Z,2022-10-10T18:59:55Z,SUCCEEDED,2429961,83581,2.088,94,64,64
u-ch427-n1280-v2-x5-orig-04, 1873.907 ,418.32,,,1,,126,2022-10-10T05:09:39Z,2022-10-10T05:09:49Z,2022-10-10T05:42:56Z,SUCCEEDED,2426982,164607,1.891,94,64,64
u-ch427-n1280-v2-x5-orig-05, 1995.811 ,475.81,,,1,,126,2022-10-10T05:09:40Z,2022-10-10T05:09:49Z,2022-10-10T05:45:04Z,SUCCEEDED,2426984,127365,1.951,94,64,64
u-ch427-n1280-v2-x5-orig-06, 2292.436 ,514.86,,,1,,126,2022-10-10T15:52:18Z,2022-10-10T18:27:46Z,2022-10-10T19:08:00Z,SUCCEEDED,2429962,204189,1.973,94,64,64
u-ch427-n1280-v2-x5-orig-07, 2142.937 ,482.64,,,1,,126,2022-10-09T22:47:40Z,2022-10-09T23:17:49Z,2022-10-09T23:55:35Z,SUCCEEDED,2426393,134670,2.437,94,64,64
u-ch427-n1280-v2-x5-orig-08, 2161.306 ,507.58,,,1,,126,2022-10-10T05:09:40Z,2022-10-10T05:09:49Z,2022-10-10T05:47:45Z,SUCCEEDED,2426985,2622,4.148,94,64,64
